29650,"Aion",54,259,1252,0.17
409710,"BioShock",12,16,23,0.42
409710,"BioShock 2",11,14,23,0.47
112100,"Avadon: The Black Fortress",40,53,81,1
207670,"AVSEQ",2,4,4,1
47780,"Dead Space 2",9,12,16,1
47780,"Dead Space 2: Severed DLC",1,2,2,0.48
57300,"Amnesia: The Dark Descent",8,9,11,1
98800,"Dungeons of Dredmor",18,32,76,1
98800,"Dungeons of Dredmor: Conquest of the Wizardlands",,27,,0.4
98800,"Dungeons of Dredmor: You Have To Name The Expansion Pack",,,,0.34
98800,"Dungeons of Dredmor: Realm of the Diggle Gods",11,11,,0.42
346110,"ARK: Survival Evolved",69,252,671,1
6920,"Deus Ex: Invisible War",9,13,19,1
504230,"Celeste",8,14,37,1
504230,"Celeste - Chapter 9: Farewell",10,10,13,0.24
504230,"Celeste Classic",,1,1,0.47
504230,"Celeste - Strawberry Jam",,27,,0.29
504230,"Celeste Classic 2: Lani's Trek",1,1,1,0.23
41300,"Altitude",1,,14,1
41300,"Altitude0: Lower & Faster",,,,0.32
1902490,"Aperture Desk Job",1,1,1,1
214932,"BioShock Infinite: Burial at Sea - Episode 2",4,5,6,1
48000,"Limbo",4,4,7,1
48000,"Touhou Shinpiroku ~ Urban Legend in Limbo",3,,5,0.12
48000,"Depths of Limbo",,,,0.33
48000,"Kulebra and the Souls of Limbo",,,,0.17
48000,"Exit Limbo: Opening",2,3,,0.26
48000,"Limbo Line",,,,0.5
48000,"Flimbo's Quest",1,,,0.36
48000,"Isles of Limbo",,,,0.36
48000,"Limbo of the Lost",,,10,0.29
48000,"Cosmic Courier: Trapped in Limbo",,,1,0.16
48000,"The Bookshelf Limbo",,,,0.26
238460,"BattleBlock Theater",10,17,40,1
242800,"Day One: Garry's Incident",3,4,4,1
100,"Counter-Strike: Condition Zero Deleted Scenes",6,7,8,1
200260,"Batman: Arkham City GOTY",14,23,57,1
925930,"Myst III: Exile",7,9,13,1
397950,"Clustertruck",4,6,8,1
521840,"Hacknet - Labyrinths",3,5,9,1
311340,"Metal Gear Solid V: Ground Zeroes",2,7,21,1
386070,"Planetary Annihilation: Titans",5,9,20,1
235460,"Metal Gear Rising: Revengeance",7,11,38,1
235460,"Metal Gear Rising: Revengeance - Jetstream",1,2,5,0.71
235460,"Metal Gear Rising: Revengeance - Blade Wolf",1,1,3,0.7
729040,"Borderlands: Game of the Year",21,37,81,0.55
464920,"Surviving Mars",22,42,118,1
50620,"Darksiders",17,20,28,1
50620,"Darksiders II: Deathinitive Edition",20,30,52,0.29
50620,"Darksiders III",14,19,32,0.71
50620,"Darksiders: Genesis",14,21,31,0.53
50620,"Darksiders II",22,29,44,0.77
50620,"Darksiders III - Keepers of the Void",4,4,4,0.28
